Date,Open,High,Close,Low,Change %
44001,"9,305.90","9,094.90","9,339.90","9,062.00",2.31%
44000,"9,095.90","9,351.00","9,370.90","8,945.40",-2.78%
43999,"9,356.00","8,986.00","9,489.90","8,986.00",4.12%
43998,"8,986.00","8,852.80","9,389.60","8,803.00",1.47%
43997,"8,856.00","8,689.00","8,904.10","8,611.00",1.92%
43996,"8,689.10","8,230.00","8,714.90","8,163.30",5.61%
43995,"8,227.40","8,177.60","8,333.00","8,038.90",0.64%
43994,"8,175.40","7,903.10","8,238.80","7,822.30",3.43%
43993,"7,904.10","8,018.80","8,048.90","7,711.30",-1.37%
43992,"8,013.70","7,622.50","8,046.30","7,523.30",4.90%
43991,"7,639.20","7,924.00","7,961.00","7,502.50",-3.60%
43990,"7,924.60","8,002.10","8,064.80","7,802.00",-0.84%
43989,"7,991.50","7,816.90","8,123.50","7,769.10",2.38%
43988,"7,805.60","7,766.30","7,870.60","7,461.00",0.21%
43987,"7,789.30","7,692.80","7,931.00","7,603.00",1.25%
43986,"7,692.80","8,088.00","8,088.00","7,524.50",-5.07%
43985,"8,103.40","8,740.10","8,740.10","8,050.10",-7.28%
43984,"8,740.00","8,546.90","8,818.00","8,540.00",2.26%
43983,"8,547.00","8,531.90","8,625.00","8,452.00",0.16%
43982,"8,533.30","8,268.50","8,550.00","8,112.40",3.18%
43981,"8,269.90","8,681.20","9,100.00","8,019.70",-4.73%
43980,"8,680.90","8,738.10","8,794.90","8,490.00",-0.69%
43979,"8,740.90","8,806.10","8,843.70","8,558.30",-0.74%
43978,"8,806.00","8,730.00","8,951.00","8,661.00",0.87%
43977,"8,729.90","8,054.90","8,820.00","7,880.20",8.38%
43976,"8,054.90","7,990.00","8,135.00","7,950.40",0.75%
43975,"7,994.90","7,872.10","8,158.60","7,801.60",1.56%
43974,"7,872.40","7,619.90","7,957.10","7,496.30",3.30%
43973,"7,621.10","7,933.60","8,030.00","7,507.90",-3.98%
43972,"7,937.00","7,990.50","8,089.90","7,819.70",-0.60%
43971,"7,985.00","8,188.30","8,188.30","7,601.00",-2.50%
43970,"8,189.50","7,260.10","8,263.20","7,252.00",12.80%
43969,"7,260.00","7,418.30","7,509.10","7,210.60",-2.10%
43968,"7,415.40","7,857.50","7,905.70","7,067.40",-5.62%
43967,"7,857.00","8,135.50","8,307.70","7,750.10",-3.39%
43966,"8,132.90","7,951.90","8,208.90","7,837.60",2.19%
43965,"7,958.30","7,753.20","8,194.10","7,684.10",2.65%
43964,"7,753.20","6,980.10","8,049.90","6,883.90",11.08%
43963,"6,979.90","7,125.10","7,448.00","6,860.00",-2.19%
43962,"7,136.40","6,438.70","7,278.30","6,438.70",10.84%
43961,"6,438.70","6,262.00","6,522.00","6,212.60",2.88%
43960,"6,258.40","6,201.90","6,309.00","6,165.00",0.93%
43959,"6,201.00","6,096.60","6,220.40","6,024.10",1.86%
43958,"6,087.90","6,027.90","6,290.00","6,027.90",1.00%
43957,"6,027.90","6,042.00","6,100.30","5,906.80",-0.23%
43956,"6,042.00","6,098.20","6,112.00","5,956.20",-0.92%
43955,"6,098.30","6,019.90","6,149.10","5,868.20",1.37%
43954,"6,016.00","5,729.60","6,139.90","5,716.50",5.11%
43953,"5,723.80","5,629.50","5,779.80","5,618.00",1.67%
43952,"5,629.60","5,599.60","5,655.00","5,585.50",0.54%
43951,"5,599.50","5,480.00","5,612.00","5,454.90",2.18%
43950,"5,480.10","5,486.80","5,515.20","5,370.30",-0.12%
43949,"5,486.80","5,400.60","5,542.20","5,400.60",1.57%
43948,"5,401.80","5,410.90","5,456.90","5,355.40",-0.17%
43947,"5,410.80","5,215.60","5,517.10","5,174.10",3.68%
43946,"5,219.00","5,479.60","5,556.80","5,065.20",-4.77%
43945,"5,480.30","5,547.10","5,647.40","5,415.00",-1.27%
43944,"5,550.90","5,417.80","5,645.00","5,395.20",2.46%
43943,"5,417.80","5,320.30","5,447.50","5,276.50",1.80%
43942,"5,321.90","5,340.10","5,366.10","5,259.40",-0.34%
43941,"5,340.00","5,314.10","5,375.60","5,289.20",0.49%
43940,"5,314.00","5,310.80","5,371.10","5,225.00",0.06%
43939,"5,310.80","5,254.50","5,339.30","5,254.00",1.07%
43938,"5,254.50","5,234.30","5,291.10","5,224.70",0.39%
43937,"5,234.30","5,042.80","5,256.20","5,030.00",3.67%
43936,"5,049.20","5,190.10","5,217.10","5,000.70",-2.79%
43935,"5,194.30","5,103.70","5,209.00","5,064.20",1.81%
43934,"5,101.80","5,114.10","5,160.80","5,075.30",-0.24%
43933,"5,114.00","5,059.00","5,134.90","4,935.20",0.95%
43932,"5,065.80","5,315.50","5,340.00","5,001.10",-4.63%
43931,"5,311.70","5,213.00","5,487.40","5,200.50",1.83%
43930,"5,216.30","5,312.40","5,312.50","5,173.50",-1.81%
43929,"5,312.50","5,238.90","5,361.70","5,148.50",1.42%
43928,"5,238.10","5,091.10","5,313.10","5,075.00",2.90%
43927,"5,090.50","5,080.40","5,280.00","4,968.10",0.20%
43926,"5,080.40","4,939.30","5,130.00","4,930.10",2.87%
43925,"4,938.90","4,976.90","5,099.90","4,834.00",-0.79%
43924,"4,978.00","4,929.30","5,330.10","4,849.10",1.03%
43923,"4,927.10","4,196.90","5,079.40","4,189.70",17.40%
43922,"4,196.80","4,167.50","4,220.80","4,127.20",0.70%
43921,"4,167.60","4,165.10","4,181.40","4,153.10",0.06%
43920,"4,165.10","4,179.10","4,210.00","4,117.20",-0.33%
43919,"4,179.00","4,092.60","4,188.00","4,084.70",2.11%
43918,"4,092.60","4,102.70","4,104.00","4,066.40",-0.24%
43917,"4,102.50","3,992.70","4,109.60","3,979.60",2.78%
43916,"3,991.70","3,970.00","3,994.80","3,951.00",0.55%
43915,"3,970.00","4,041.40","4,049.90","3,939.10",-1.77%
43914,"4,041.40","4,063.00","4,063.20","4,011.50",-0.54%
43913,"4,063.20","4,045.20","4,076.30","4,038.50",0.44%
43912,"4,045.30","4,044.80","4,064.60","4,035.10",0.01%
43911,"4,044.80","4,127.20","4,138.70","4,005.20",-2.00%
43910,"4,127.20","4,104.60","4,136.20","4,073.90",0.55%
43909,"4,104.70","4,073.70","4,118.00","4,056.60",0.77%
43908,"4,073.50","4,069.00","4,119.90","4,035.60",0.11%
43907,"4,068.90","4,088.00","4,088.30","4,041.10",-0.47%
43906,"4,088.00","4,003.10","4,152.70","4,003.10",2.12%
43905,"4,003.10","3,948.30","4,011.00","3,948.30",1.39%
43904,"3,948.30","3,946.20","4,000.10","3,882.80",0.01%
43903,"3,947.90","3,954.90","3,972.10","3,925.10",-0.16%
43902,"3,954.10","3,950.70","3,979.50","3,895.20",0.13%
43901,"3,949.00","4,000.00","4,009.20","3,920.70",-1.28%
43900,"4,000.00","4,017.30","4,017.30","3,961.80",-0.43%
43899,"4,017.30","3,940.50","4,046.20","3,933.90",1.95%
43898,"3,940.50","3,964.70","4,020.90","3,863.70",-0.61%
43897,"3,964.70","3,951.50","3,989.60","3,935.70",0.34%
43896,"3,951.40","3,951.60","3,984.10","3,912.40",-0.01%
43895,"3,951.60","3,800.00","3,966.90","3,786.20",3.99%
43894,"3,800.00","3,884.80","3,908.10","3,767.10",-2.18%
43893,"3,884.80","3,913.00","3,923.40","3,856.70",-0.72%
43892,"3,913.00","3,915.00","3,924.00","3,850.00",-0.03%
43891,"3,914.00","3,894.00","3,948.70","3,893.00",0.51%
43889,"3,894.00","3,900.10","3,988.00","3,875.00",-0.22%
43888,"3,902.70","3,896.80","3,934.00","3,767.00",0.15%
43887,"3,896.80","3,919.30","3,934.10","3,870.40",-0.64%
43886,"3,921.80","3,825.00","3,965.00","3,825.00",2.34%
43885,"3,832.00","4,212.20","4,282.40","3,812.00",-9.02%
43884,"4,211.70","4,058.20","4,255.00","4,014.50",3.78%
